ID,Crossing_times
52,4.5
67,6.25
330,4.5
460,4.25
641,6.75
1057,4.75
1093,6.5
1146,4.5
1308,4.0
1487,4.5
1578,6.25
1581,5.75
1720,6.75
1747,6.5
1795,8.75
1829,6.75
1831,7.75
1862,6.5
1890,6.75
2014,4.5
2024,4.5
2083,4.75
2087,4.25
2212,6.25
2216,6.0
2243,7.0
2297,4.5
2423,6.5
2428,5.0
2487,7.5
2496,4.25
2838,6.75
2909,6.25
2932,5.75
2987,7.0
3038,4.25
3044,4.25
3045,4.25
3432,4.0
3629,7.5
4141,4.5
8101,4.5
8104,4.5
8277,4.5
8897,6.25
9064,4.5
50000090,6.25
50010049,6.5
50020046,6.0
50020061,4.5
50020062,4.25
50020063,4.5
50020064,4.25
50020065,5.75
50020066,5.75
50020067,6.75
50020068,6.75
50040332,4.5
100000124,6.75
100001221,4.75
100001256,6.75
100001781,8.25
100001827,6.5
100002442,4.5
100002464,4.25
100002471,7.75
100002748,6.25
100003452,4.25
100003630,6.25
100004077,4.5
100004106,4.25
100004221,4.25
100004326,5.25
100004417,4.25
100004539,6.0
100004896,7.0
100004980,6.25
100005084,4.5
100005145,4.25
100005343,4.25
100005456,6.5
100005597,6.25
100005643,4.5
100005707,6.25
100005773,7.5
100005812,6.25
100005921,6.25
100006025,4.25
100006029,5.75
100006140,5.0
100006199,4.75
100006235,4.25
100006421,4.75
100006719,6.5
100006855,6.25
100007084,7.0
100007154,5.0
100007156,4.75
100007209,4.5
100007316,6.75
100007393,4.75
100007394,4.75
100007428,4.25
100007643,6.75
100008079,5.0
100008106,4.25
100008203,7.5
100008484,6.25
100008497,7.75
100008709,7.5
100008920,6.5
100009037,4.75
100009040,4.75
100009208,4.25
100009256,4.25
100009285,5.0
100009294,4.0
100009326,4.5
100009451,4.5
100009453,4.5
100009499,7.5
100009503,7.25
100009505,8.0
100010037,4.5
100010064,4.5
100010980,6.5
100011005,7.0
100011136,4.75
100011148,6.25
100011187,4.25
100011398,4.5
100011635,6.25
100012124,5.5
100012215,4.75
100012427,6.0
100012577,28.25
100014069,4.75
100014112,4.5
100014127,6.5
100014157,4.75
100014201,4.25
100014258,4.75
100014263,4.5
100014295,4.5
100014296,4.75
100014320,6.5
100014380,6.25
100014414,6.5
100014417,7.25
100014486,6.75
100014579,6.25
100014602,6.25
100014615,7.5
100014644,6.0
100014911,6.25
100014938,6.5
100015176,4.5
100015229,7.5
100015296,4.5
100017023,4.5
100017294,4.5
100018233,5.75
100019446,6.25
150030026,8.25
150040004,7.0
150040005,6.5
150060033,4.5
150060034,6.5
150090052,4.0
150120040,28.5
150140003,5.0
150140035,7.0
150140036,6.25
150140037,7.75
150140038,6.5
150140039,4.5
150140040,4.25
150140041,4.5
150140042,4.5
150150045,6.25
150150047,6.25
150170146,4.25
200000101,4.5
200000102,4.5
200000294,6.25
200000327,6.25
200000428,5.75
200000547,6.25
200000898,6.0
200000906,6.25
200000946,6.0
200000966,6.75
200001102,5.75
200001119,4.5
200001516,6.5
200001517,5.5
200001646,7.75
200002129,4.5
200002172,4.5
200002175,4.25
200002967,6.0
200003007,4.0
200003061,4.0
200003142,4.5
200003194,4.5
200003283,4.25
200003317,6.5
200003369,7.5
200003543,8.0
200003849,6.75
200003922,7.0
200004047,6.25
200004060,6.75
200004207,4.5
200004269,4.5
200004297,4.25
200004427,4.5
200004494,6.25
200004605,6.25
200004914,6.25
200004915,5.75
200005102,4.5
