Wall time,Step,Value
1667643368.70549,10000,-488.62481689453125
1667643373.8999698,20000,-765.822509765625
1667643379.1245935,30000,-51.82602310180664
1667643384.3041372,40000,-68.28532409667969
1667643389.4779723,50000,-26.57733154296875
1667643394.6461794,60000,-26.938425064086914
1667643399.799964,70000,28.779502868652344
1667643405.0304236,80000,-65.40664672851562
1667643410.2600455,90000,4.086759567260742
1667643415.4687982,100000,0.6140766143798828
1667643420.7044213,110000,21.104883193969727
1667643425.9315033,120000,-29.69628143310547
1667643431.144265,130000,-33.555240631103516
1667643436.3831885,140000,6.803398132324219
1667643441.6676347,150000,-1.8838666677474976
1667643446.9621418,160000,-0.19375690817832947
1667643452.128939,170000,-37.6174201965332
1667643457.3480072,180000,41.3698616027832
1667643462.5314984,190000,49.0411262512207
1667643467.8923485,200000,30.863981246948242
1667643473.4764915,210000,22.012035369873047
1667643479.4546106,220000,27.437400817871094
1667643485.3403437,230000,15.616398811340332
1667643490.9205074,240000,85.20056915283203
1667643496.3484216,250000,38.693092346191406
1667643501.97539,260000,46.23052215576172
1667643507.6054935,270000,22.353778839111328
1667643512.9934492,280000,27.893159866333008
1667643518.522623,290000,18.144289016723633
1667643524.2729492,300000,66.94145965576172
1667643529.5242052,310000,57.144676208496094
1667643534.9874249,320000,59.719303131103516
1667643540.052449,330000,80.92642974853516
1667643545.014842,340000,62.85854721069336
1667643550.1009915,350000,84.3360366821289
1667643555.0588162,360000,98.92681884765625
1667643560.030231,370000,113.81892395019531
1667643565.2909975,380000,110.06757354736328
1667643570.4426463,390000,51.98735427856445
1667643575.3385963,400000,95.09529876708984
1667643580.2884145,410000,52.88785171508789
1667643585.2357512,420000,77.69084930419922
1667643590.262549,430000,10.989652633666992
1667643595.4670653,440000,58.99631118774414
1667643600.638159,450000,45.33050537109375
1667643605.7600694,460000,84.10334014892578
1667643610.8587384,470000,64.90675354003906
1667643616.0930495,480000,36.7451286315918
1667643621.4927201,490000,91.52688598632812
1667643627.2665753,500000,85.1453857421875
1667643633.2563686,510000,55.028934478759766
1667643638.6898317,520000,70.81707000732422
1667643644.146111,530000,77.53302764892578
1667643649.2812345,540000,90.84173583984375
1667643654.4055724,550000,40.01701354980469
1667643659.5044086,560000,94.17958068847656
1667643664.5892036,570000,91.43656158447266
1667643669.501965,580000,103.22542572021484
1667643674.5540555,590000,56.55488967895508
1667643679.542358,600000,77.2139892578125
1667643685.299319,610000,84.02412414550781
1667643690.9133432,620000,74.74522399902344
1667643696.0326257,630000,102.62120056152344
1667643701.2810822,640000,85.2423324584961
1667643706.4567902,650000,110.63174438476562
1667643711.6407065,660000,53.36376953125
1667643716.7125204,670000,104.61859893798828
1667643721.8206236,680000,72.48445892333984
1667643726.775676,690000,101.31621551513672
1667643731.722952,700000,60.28282165527344
1667643736.5751352,710000,101.75824737548828
1667643741.610303,720000,119.61929321289062
1667643746.6429293,730000,120.96206665039062
1667643751.7904663,740000,71.03465270996094
1667643756.877527,750000,103.13800048828125
1667643761.8204226,760000,104.49169921875
1667643766.789025,770000,116.00701904296875
1667643771.8962514,780000,70.0336685180664
1667643777.0147645,790000,80.49943542480469
1667643782.0332816,800000,85.26334381103516
1667643786.9807153,810000,105.92533111572266
1667643791.840054,820000,85.39622497558594
1667643796.9435577,830000,91.27882385253906
1667643801.8832145,840000,95.10535430908203
1667643806.7851727,850000,95.4773941040039
1667643811.8344438,860000,108.84246826171875
1667643816.8702254,870000,117.48436737060547
1667643821.891297,880000,102.19740295410156
1667643826.9661913,890000,114.93714904785156
1667643832.3188314,900000,84.45491027832031
1667643837.814145,910000,99.0770034790039
1667643842.9430835,920000,28.34002113342285
1667643848.1141112,930000,114.885009765625
1667643853.2989202,940000,116.81437683105469
1667643858.480926,950000,122.35335540771484
1667643863.6030452,960000,119.52711486816406
1667643868.9386485,970000,106.31713104248047
1667643873.9712927,980000,99.27202606201172
1667643879.092702,990000,117.88206481933594
1667643883.9673717,1000000,101.47869110107422
1667643889.0712292,1010000,75.8935775756836
1667643894.0282235,1020000,118.68374633789062
1667643899.1233315,1030000,116.90078735351562
1667643904.165173,1040000,101.56697845458984
1667643909.0370164,1050000,80.05213165283203
1667643913.9393446,1060000,114.2560806274414
1667643919.1525178,1070000,110.26505279541016
1667643924.4451292,1080000,109.50105285644531
1667643929.5359943,1090000,121.96421813964844
1667643934.884852,1100000,94.27371978759766
1667643939.962323,1110000,119.26911163330078
1667643944.974811,1120000,99.17964172363281
1667643950.3084114,1130000,56.35800552368164
1667643955.5887494,1140000,112.96875
1667643960.6735003,1150000,100.22280883789062
1667643965.8732646,1160000,113.6272964477539
1667643970.956155,1170000,114.8359375
1667643975.9989345,1180000,114.40868377685547
1667643980.9684503,1190000,113.15689849853516
1667643985.928896,1200000,82.87332916259766
1667643990.997528,1210000,121.94071197509766
1667643996.5758593,1220000,89.70907592773438
1667644001.9109604,1230000,115.11759185791016
1667644007.140172,1240000,114.37323760986328
1667644012.416405,1250000,115.20504760742188
1667644017.6764486,1260000,77.1975326538086
1667644022.9399254,1270000,108.86358642578125
1667644028.164038,1280000,118.42082214355469
1667644033.3665967,1290000,109.99740600585938
1667644038.5233045,1300000,96.42090606689453
1667644043.5047283,1310000,112.7730941772461
1667644048.8725646,1320000,119.68083953857422
1667644054.3480399,1330000,111.84972381591797
1667644060.6287858,1340000,110.96082305908203
1667644065.8864207,1350000,118.07878875732422
1667644071.2781825,1360000,114.34010314941406
1667644076.6084056,1370000,110.56361389160156
1667644081.8575373,1380000,116.95026397705078
1667644087.1690702,1390000,113.85934448242188
1667644092.6302202,1400000,102.49957275390625
1667644098.148516,1410000,117.10921478271484
