Wall time,Step,Value
1667674130.4922495,10000,-276.22119140625
1667674134.3381999,20000,-347.36651611328125
1667674138.109206,30000,-384.6753234863281
1667674141.2983546,40000,-355.6921081542969
1667674145.0727646,50000,-296.70037841796875
1667674148.216152,60000,-477.48236083984375
1667674152.0839422,70000,-944.527099609375
1667674155.3342907,80000,-455.6666564941406
1667674158.5378478,90000,2.176203489303589
1667674162.2553174,100000,-92.39173889160156
1667674165.430265,110000,-29.893583297729492
1667674169.0433328,120000,-305.53155517578125
1667674172.1629224,130000,-204.04368591308594
1667674175.796954,140000,-81.48392486572266
1667674179.1378968,150000,-94.72671508789062
1667674182.9629738,160000,-210.38877868652344
1667674186.2714212,170000,-223.36607360839844
1667674189.5175085,180000,-118.50555419921875
1667674193.4777157,190000,-242.98057556152344
1667674196.967328,200000,-17.28851318359375
1667674200.9785306,210000,-467.6617126464844
1667674204.5243683,220000,-238.46112060546875
1667674208.5000985,230000,-163.2584228515625
1667674211.8115652,240000,-233.72695922851562
1667674215.6838655,250000,-325.48114013671875
1667674219.2773132,260000,-230.0166015625
1667674222.7393222,270000,-289.0072326660156
1667674226.689679,280000,-305.5684509277344
1667674229.9253829,290000,-178.38845825195312
1667674233.6570067,300000,-210.20172119140625
1667674236.642281,310000,22.46392822265625
1667674240.007487,320000,-18.341215133666992
1667674242.9389625,330000,-53.500022888183594
1667674246.6995459,340000,-104.51200866699219
1667674249.8276567,350000,-34.08986282348633
1667674253.4252737,360000,-58.568389892578125
1667674256.9715996,370000,-14.541290283203125
1667674259.8572688,380000,6.752188205718994
1667674263.3235438,390000,-39.156288146972656
1667674266.3944888,400000,86.28372955322266
1667674269.7756422,410000,33.187252044677734
1667674272.753369,420000,24.94586753845215
1667674275.6866658,430000,-28.594829559326172
1667674279.422317,440000,-79.63088989257812
1667674282.4107792,450000,-3.1664950847625732
1667674285.801617,460000,-9.938987731933594
1667674288.9493573,470000,47.66630935668945
1667674292.6063128,480000,-74.15303039550781
1667674295.6781032,490000,88.75187683105469
1667674299.2181048,500000,-26.594573974609375
1667674302.1488519,510000,15.668041229248047
1667674305.1166422,520000,-7.020748138427734
1667674308.6638784,530000,78.13457489013672
1667674311.8797026,540000,56.36919021606445
1667674315.3996503,550000,-18.822608947753906
1667674318.3335948,560000,6.272608757019043
1667674322.0817037,570000,71.33842468261719
1667674325.0621886,580000,43.74473571777344
1667674329.06605,590000,-19.048494338989258
1667674332.201904,600000,37.4140510559082
1667674335.184223,610000,36.91423797607422
1667674338.530528,620000,74.91757202148438
1667674341.4189246,630000,-20.058988571166992
1667674345.270023,640000,58.25618362426758
1667674348.277889,650000,5.682263374328613
1667674351.7022746,660000,-32.091495513916016
1667674354.8687332,670000,-42.143741607666016
1667674358.7594178,680000,65.0562973022461
1667674361.8093998,690000,93.3412094116211
1667674364.7908337,700000,84.24598693847656
1667674368.2680569,710000,46.4931755065918
1667674371.194642,720000,93.20097351074219
1667674374.8412898,730000,26.301429748535156
1667674377.750601,740000,93.66155242919922
1667674381.1888316,750000,75.69718170166016
1667674384.4220035,760000,83.96798706054688
1667674387.797125,770000,35.96346664428711
1667674392.0156052,780000,-20.125581741333008
1667674395.6532354,790000,73.69230651855469
1667674399.3816526,800000,76.00265502929688
1667674402.5537107,810000,-0.9397543668746948
1667674406.2354107,820000,88.62841033935547
1667674409.5547357,830000,86.67296600341797
1667674413.1071994,840000,74.66299438476562
1667674416.4474447,850000,84.7671890258789
1667674419.4400537,860000,99.9710693359375
1667674423.1265101,870000,97.10275268554688
1667674426.662279,880000,83.1905288696289
1667674430.2984781,890000,94.98413848876953
1667674433.838633,900000,95.79449462890625
1667674437.8833296,910000,87.81844329833984
1667674441.3828151,920000,95.33365631103516
1667674445.336887,930000,75.242919921875
1667674448.3425643,940000,88.65955352783203
1667674451.6794806,950000,99.11921691894531
1667674455.1079984,960000,98.62725830078125
1667674457.9825482,970000,99.7242202758789
1667674461.351875,980000,97.53011322021484
1667674464.6747522,990000,93.91222381591797
1667674467.9414344,1000000,80.13865661621094
1667674470.8362052,1010000,94.66407012939453
1667674474.8179162,1020000,91.60147857666016
1667674478.3765695,1030000,87.5214614868164
1667674481.7125688,1040000,63.38799285888672
1667674485.8791926,1050000,97.21867370605469
1667674489.0449975,1060000,70.96143341064453
1667674492.6808453,1070000,72.11323547363281
1667674495.5186152,1080000,81.2597885131836
1667674498.978579,1090000,79.93887329101562
1667674502.8899837,1100000,73.31077575683594
1667674506.625434,1110000,100.14950561523438
1667674510.7628124,1120000,63.90159606933594
1667674513.6939468,1130000,101.703369140625
1667674516.9808207,1140000,67.95418548583984
1667674519.7984495,1150000,91.96876525878906
1667674523.2490485,1160000,87.86527252197266
1667674526.0711012,1170000,90.58898162841797
1667674529.3046901,1180000,98.80754852294922
1667674532.1373696,1190000,97.37430572509766
1667674535.0021813,1200000,96.91835021972656
1667674538.3977063,1210000,103.82284545898438
1667674541.307085,1220000,41.465999603271484
1667674544.556704,1230000,98.9494400024414
1667674547.3970275,1240000,100.5044174194336
1667674550.6228256,1250000,69.73011779785156
1667674553.5610304,1260000,107.1719741821289
1667674556.7976568,1270000,105.10091400146484
1667674559.5998323,1280000,20.780393600463867
1667674562.4259622,1290000,30.5018367767334
1667674565.5892775,1300000,97.23058319091797
1667674568.4247692,1310000,56.29801940917969
1667674571.579738,1320000,73.7740478515625
1667674574.3600304,1330000,110.06776428222656
1667674577.650445,1340000,103.70407104492188
1667674580.408055,1350000,93.36430358886719
1667674584.0218263,1360000,103.46630859375
1667674586.926931,1370000,19.36896324157715
1667674589.7431118,1380000,63.090126037597656
1667674593.0318258,1390000,38.185447692871094
1667674595.8529835,1400000,102.4388656616211
1667674599.0691884,1410000,97.53614044189453
1667674601.8629825,1420000,59.35892868041992
1667674605.1249254,1430000,80.88965606689453
1667674607.9831784,1440000,103.8374252319336
1667674611.216841,1450000,60.330162048339844
1667674614.284003,1460000,101.19779205322266
1667674617.1093764,1470000,76.95723724365234
1667674620.291455,1480000,92.42574310302734
1667674623.0504823,1490000,71.9920654296875
1667674626.2293139,1500000,31.507539749145508
1667674629.0672996,1510000,92.58197784423828
1667674632.3921304,1520000,104.0434799194336
1667674635.2917922,1530000,104.94245147705078
1667674638.1194112,1540000,99.90990447998047
1667674641.3123157,1550000,95.57354736328125
1667674644.5232406,1560000,42.26677703857422
1667674647.8330293,1570000,76.84947967529297
1667674650.684574,1580000,101.51483154296875
1667674653.996288,1590000,47.88033676147461
1667674656.8018813,1600000,41.0167350769043
1667674660.0028486,1610000,33.02754211425781
1667674662.780276,1620000,106.86070251464844
1667674665.631565,1630000,40.96456527709961
1667674668.9510915,1640000,46.86042785644531
1667674671.7363389,1650000,103.15178680419922
1667674675.2869725,1660000,84.60552215576172
1667674678.2290056,1670000,65.16439056396484
1667674681.6265109,1680000,83.71971130371094
1667674684.4480555,1690000,97.65502166748047
1667674687.730415,1700000,-57.37531661987305
1667674690.5611844,1710000,90.0400161743164
1667674693.3367984,1720000,102.03852844238281
1667674696.485238,1730000,103.82546997070312
