Wall time,Step,Value
1667674832.4208293,10000,-399.7938537597656
1667674835.577306,20000,-302.22052001953125
1667674839.3436117,30000,-301.62591552734375
1667674842.4836607,40000,-326.74481201171875
1667674846.088685,50000,-217.77178955078125
1667674849.1658185,60000,-265.92498779296875
1667674853.2253156,70000,-140.3588104248047
1667674856.4239557,80000,-54.973690032958984
1667674860.0976286,90000,-404.0075378417969
1667674864.110254,100000,-186.97891235351562
1667674867.2626686,110000,-176.45130920410156
1667674870.8523772,120000,-318.39263916015625
1667674873.690791,130000,-364.30023193359375
1667674876.8971024,140000,-443.6459655761719
1667674879.666542,150000,-94.15055847167969
1667674883.0810225,160000,-239.8225860595703
1667674885.9417272,170000,-370.1833190917969
1667674888.7904935,180000,-170.9456024169922
1667674892.0025866,190000,-176.41050720214844
1667674894.8137252,200000,-418.1844177246094
1667674898.353655,210000,-85.91600799560547
1667674901.7227733,220000,-39.472564697265625
1667674905.7427928,230000,-96.30030822753906
1667674909.6656313,240000,-94.90713500976562
1667674913.8084254,250000,-21.226667404174805
1667674916.9729867,260000,-139.16763305664062
1667674920.0403984,270000,-191.2067108154297
1667674923.4519603,280000,-253.7463836669922
1667674926.8751028,290000,-247.2228240966797
1667674930.45679,300000,-121.44352722167969
1667674933.5330977,310000,-67.65089416503906
1667674937.380923,320000,-99.0838394165039
1667674940.436301,330000,7.769752025604248
1667674944.0043938,340000,-90.53471374511719
1667674947.3011248,350000,-138.53976440429688
1667674950.4351506,360000,-17.505756378173828
1667674953.8867748,370000,-133.49627685546875
1667674956.9871666,380000,-12.176025390625
1667674960.4788349,390000,-46.232444763183594
1667674963.8936245,400000,-36.03943634033203
1667674967.4488008,410000,-1.4532526731491089
1667674970.3838387,420000,-161.46432495117188
1667674973.8417506,430000,-48.5817756652832
1667674977.8654795,440000,-57.00249099731445
1667674981.1195443,450000,8.499418258666992
1667674984.6674318,460000,-23.502046585083008
1667674987.5744455,470000,-25.61739158630371
1667674990.8881521,480000,50.17995834350586
1667674993.6952527,490000,-28.39794921875
1667674997.1780062,500000,-25.97199821472168
1667675000.0185425,510000,32.61049270629883
1667675003.074908,520000,7.990855693817139
1667675006.516261,530000,-7.789796352386475
1667675009.4762192,540000,77.6048812866211
1667675012.8123803,550000,39.119075775146484
1667675015.7549415,560000,32.98923110961914
1667675019.2573533,570000,24.177364349365234
1667675022.1772192,580000,80.64962768554688
1667675025.4764028,590000,51.01858901977539
1667675028.3329043,600000,0.6717427968978882
1667675031.4264064,610000,79.88768005371094
1667675034.9348917,620000,53.30361557006836
1667675037.8729644,630000,85.60684204101562
1667675041.2805238,640000,67.01380157470703
1667675044.3705175,650000,44.9771614074707
1667675047.8982756,660000,79.26344299316406
1667675050.9280288,670000,-0.17533129453659058
1667675054.2967937,680000,94.56739044189453
1667675057.3057024,690000,82.05896759033203
1667675060.3635097,700000,84.49362182617188
1667675064.613551,710000,85.30322265625
1667675067.9837794,720000,64.52314758300781
1667675071.913609,730000,41.2303466796875
1667675074.7232354,740000,67.23948669433594
1667675077.934889,750000,87.39118194580078
1667675080.872879,760000,65.05691528320312
1667675084.5365,770000,86.96570587158203
1667675088.7972836,780000,47.41389465332031
1667675092.3863626,790000,87.78522491455078
1667675095.7193964,800000,44.52484893798828
1667675098.9188426,810000,22.853069305419922
1667675102.9983203,820000,58.42576217651367
1667675106.1554012,830000,72.42066955566406
1667675109.688619,840000,44.228248596191406
1667675112.9767659,850000,34.98456954956055
1667675116.3805532,860000,83.618896484375
1667675120.143005,870000,82.48229217529297
1667675123.821148,880000,80.30380249023438
1667675128.1249495,890000,95.5705337524414
1667675131.8875058,900000,88.71886444091797
1667675135.2973878,910000,87.88365936279297
1667675138.0568612,920000,81.96270751953125
1667675141.1916876,930000,83.50312042236328
1667675143.9869323,940000,72.3454818725586
1667675146.8059592,950000,80.40081787109375
1667675150.2694275,960000,97.78645324707031
1667675153.8221886,970000,42.82552719116211
1667675158.1509,980000,95.2414779663086
1667675161.9233692,990000,95.84300231933594
1667675166.0689182,1000000,86.3934097290039
1667675169.4148395,1010000,71.35093688964844
1667675172.8478065,1020000,82.40982818603516
1667675175.8469238,1030000,58.283138275146484
1667675178.8108196,1040000,54.27926254272461
1667675182.297576,1050000,40.9719352722168
1667675185.4019847,1060000,74.33160400390625
1667675188.8025112,1070000,66.66106414794922
1667675191.726804,1080000,79.8898696899414
1667675195.128066,1090000,88.49299621582031
1667675198.0604756,1100000,83.81439971923828
1667675200.949611,1110000,89.90336608886719
1667675204.442834,1120000,87.28006744384766
1667675208.086866,1130000,85.32579803466797
1667675213.2467637,1140000,63.22410202026367
1667675217.5295773,1150000,32.46053695678711
1667675222.5274942,1160000,99.00931549072266
1667675225.519519,1170000,43.58193588256836
1667675228.8604925,1180000,86.44986724853516
1667675231.7104928,1190000,99.16171264648438
1667675234.5727599,1200000,92.41085815429688
1667675237.9254978,1210000,99.13331604003906
1667675240.862047,1220000,97.56739807128906
1667675244.6041799,1230000,100.0226821899414
1667675247.5185242,1240000,102.94348907470703
1667675250.856008,1250000,43.51945495605469
