ID,Minimum PET
52,-20.75
67,-50.25
330,-31.0
460,-26.75
641,-41.0
1057,-37.5
1093,-45.5
1146,-8.75
1308,-37.25
1487,-4.75
1578,8.5
1581,7.75
1720,-45.5
1747,-40.75
1795,-43.25
1829,-44.0
1831,-45.0
1862,-12.25
1890,-38.75
2014,-43.25
2024,-29.0
2083,-42.0
2087,-26.0
2212,-44.25
2216,-49.5
2243,-21.0
2297,-3.5
2423,-43.0
2428,-12.0
2487,-42.5
2496,-14.75
2838,-41.5
2909,-41.25
2932,-4.5
2987,-42.25
3038,-30.75
3044,-31.0
3045,-31.0
3432,-17.5
3629,-46.5
4141,-8.0
8101,inf
8104,inf
8277,-49.0
8897,inf
9064,inf
50000090,-50.25
50010049,8.75
50020046,-20.25
50020061,-45.25
50020062,-29.0
50020063,12.0
50020064,-19.75
50020065,-20.0
50020066,-20.25
50020067,-41.25
50020068,-41.75
50040332,-8.0
100000124,-52.25
100001221,-52.25
100001256,-27.5
100001781,-10.75
100001827,-47.5
100002442,-43.0
100002464,-34.0
100002471,-47.75
100002748,-30.25
100003452,-8.0
100003630,-49.0
100004077,-27.5
100004106,-11.75
100004221,-34.0
100004326,inf
100004417,-40.75
100004539,-42.5
100004896,-42.0
100004980,-39.5
100005084,-9.0
100005145,-31.25
100005343,-34.75
100005456,-50.5
100005597,-42.75
100005643,-48.5
100005707,-40.0
100005773,-42.5
100005812,-41.5
100005921,-44.5
100006025,-38.0
100006029,-4.25
100006140,-22.5
100006199,-28.75
100006235,-35.5
100006421,-42.75
100006719,-29.5
100006855,-33.75
100007084,-46.0
100007154,-38.0
100007156,-38.0
100007209,-27.0
100007316,-13.0
100007393,-35.5
100007394,-2.5
100007428,-25.75
100007643,-41.25
100008079,-44.0
100008106,-14.5
100008203,-45.75
100008484,-36.25
100008497,-36.25
100008709,-40.25
100008920,-35.25
100009037,-37.0
100009040,-11.5
100009208,-36.5
100009256,-11.75
100009285,-28.0
100009294,-38.0
100009326,-36.5
100009451,-38.75
100009453,-38.75
100009499,-8.25
100009503,-1.25
100009505,-45.25
100010037,-9.75
100010064,-33.5
100010980,-19.5
100011005,-50.5
100011136,-37.25
100011148,-48.75
100011187,-18.0
100011398,-41.25
100011635,-46.5
100012124,-45.0
100012215,-40.25
100012427,-7.75
100012577,-41.0
100014069,-31.25
100014112,-16.25
100014127,-48.25
100014157,-45.25
100014201,inf
100014258,-28.25
100014263,-37.25
100014295,-42.5
100014296,-42.5
100014320,-49.75
100014380,-49.75
100014414,-49.75
100014417,-47.25
100014486,-37.0
100014579,-43.25
100014602,-43.0
100014615,-48.25
100014644,-8.25
100014911,8.5
100014938,-41.25
100015176,-6.5
100015229,-44.75
100015296,-43.75
100017023,-37.25
100017294,-8.25
100018233,inf
100019446,inf
150030026,-51.0
150040004,-41.75
150040005,-39.5
150060033,-28.75
150060034,-29.25
150090052,-37.75
150120040,-41.0
150140003,-51.0
150140035,-49.0
150140036,-43.25
150140037,-48.0
150140038,-48.25
150140039,inf
150140040,inf
150140041,-42.5
150140042,-42.5
150150045,-45.25
150150047,-45.0
150170146,-37.25
200000101,-42.5
200000102,-7.75
200000294,-44.0
200000327,-53.25
200000428,inf
200000547,inf
200000898,4.75
200000906,-38.0
200000946,8.0
200000966,-34.75
200001102,-7.5
200001119,-35.75
200001516,-3.5
200001517,-7.0
200001646,-26.5
200002129,-23.5
200002172,-40.5
200002175,-28.5
200002967,-41.5
200003007,-8.0
200003061,-40.0
200003142,-28.5
200003194,inf
200003283,-35.75
200003317,-39.75
200003369,-47.5
200003543,-34.0
200003849,-39.0
200003922,-35.75
200004047,-48.75
200004060,-3.0
200004207,-42.0
200004269,-46.25
200004297,-14.25
200004427,-44.5
200004494,inf
200004605,-36.75
200004914,-42.0
200004915,inf
200005102,inf
200005103,inf
200005112,-42.5
200005155,-39.75
200005156,-40.0
200005183,-32.25
200005230,-45.75
200005755,-44.0
200006000,-27.0
200006081,-9.25
200006147,-38.25
200006339,-20.0
200006944,-47.75
200007006,-38.0
200007023,8.5
200007084,-9.5
200007288,-10.0
200007289,-10.0
200007394,-38.0
200007502,-33.0
200007503,-32.75
200007837,-33.75
200007858,-43.5
200007860,-47.25
200008053,-33.5
200008083,-28.25
200008086,-48.25
200008337,-44.5
200008343,1.0
200008344,-34.75
200008378,12.0
200008449,12.5
200008490,-47.5
200008633,-46.0
200008666,-43.5
200008717,-38.5
200009024,-40.25
200009254,-3.0
200009284,-39.25
200009380,14.0
200009382,-42.75
200009384,-39.75
200009480,-41.0
200009560,-37.75
200010000,-47.75
200010007,-37.75
200010105,-45.5
200010217,-38.75
200010257,-43.5
200011224,1.75
200011280,-37.75
200011880,-34.25
200011883,-35.25
200012185,-39.25
200012567,-46.25
200012689,-45.25
200012723,-35.25
200013012,-46.5
200013055,-37.25
200013067,-47.75
200013164,-34.75
200013166,-35.0
200013314,-26.0
200013318,-7.75
200013319,-8.5
200013414,-36.25
200013445,-29.25
200013504,-45.0
200013540,-12.5
200013544,-38.25
200013830,-43.0
200014043,-38.75
200014080,-48.75
200014202,-35.0
200014258,-34.5
200014394,-43.0
200014414,-38.0
200014511,-41.75
200014643,-10.0
200014644,-33.5
200014646,-41.5
200014647,-42.0
200014693,-31.25
200014720,-10.5
200014742,-7.25
200014914,inf
200015006,-44.0
200015042,-42.5
200015067,-39.0
200015079,-31.5
200015128,-42.0
200015163,-12.75
200015615,-43.5
200015739,-43.5
200015741,-47.25
200018494,-33.5
200018495,-35.0
200019174,-31.0
200019348,-42.0
250000077,-7.5
250010160,-26.25
250040019,-44.0
250040059,-36.25
250040060,-36.75
250040061,-14.25
250050051,-44.0
250060035,-8.5
250060036,-8.75
250060037,-9.25
250080018,inf
250080038,-47.0
250080039,-47.5
250080040,-45.75
250080041,12.0
250090035,-41.0
250120051,-46.25
250130022,-47.5
250130026,-45.0
250130027,-45.25
250140035,-45.75
250140047,-41.25
250140048,-7.0
250140049,inf
250150133,-42.0
250180104,-3.5
250180133,-33.25
250190458,-31.0
250190459,-42.0
300000239,inf
300000262,inf
300000322,-4.0
300000385,-6.5
300000400,-5.25
300000496,inf
300000545,9.25
300000998,-4.0
300001372,inf
300001806,-3.0
300002094,-39.0
300002097,-10.75
350000097,inf
350000098,-6.5
350000099,-5.0
350000100,inf
350000101,-4.25
350020054,-38.5
